epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63E+12,2021-09-29T13.36.32.634,1.782,-0.628,0.686,0.493
1.63E+12,2021-09-29T13.36.32.638,1.786,-0.63,0.685,0.494
1.63E+12,2021-09-29T13.36.32.644,1.792,-0.626,0.687,0.491
1.63E+12,2021-09-29T13.36.32.648,1.796,-0.626,0.687,0.489
1.63E+12,2021-09-29T13.36.32.654,1.802,-0.628,0.691,0.495
1.63E+12,2021-09-29T13.36.32.659,1.807,-0.629,0.691,0.495
1.63E+12,2021-09-29T13.36.32.663,1.811,-0.628,0.692,0.492
1.63E+12,2021-09-29T13.36.32.669,1.817,-0.629,0.689,0.495
1.63E+12,2021-09-29T13.36.32.675,1.823,-0.626,0.691,0.492
1.63E+12,2021-09-29T13.36.32.679,1.827,-0.627,0.691,0.49
1.63E+12,2021-09-29T13.36.32.683,1.831,-0.626,0.69,0.496
1.63E+12,2021-09-29T13.36.32.689,1.837,-0.628,0.688,0.495
1.63E+12,2021-09-29T13.36.32.694,1.842,-0.627,0.687,0.494
1.63E+12,2021-09-29T13.36.32.698,1.846,-0.631,0.69,0.493
1.63E+12,2021-09-29T13.36.32.704,1.852,-0.627,0.687,0.496
1.63E+12,2021-09-29T13.36.32.708,1.856,-0.632,0.685,0.489
1.63E+12,2021-09-29T13.36.32.714,1.862,-0.632,0.686,0.49
1.63E+12,2021-09-29T13.36.32.719,1.867,-0.63,0.687,0.495
1.63E+12,2021-09-29T13.36.32.724,1.872,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.32.729,1.877,-0.629,0.686,0.493
1.63E+12,2021-09-29T13.36.32.735,1.883,-0.629,0.688,0.498
1.63E+12,2021-09-29T13.36.32.739,1.887,-0.629,0.688,0.492
1.63E+12,2021-09-29T13.36.32.744,1.892,-0.625,0.689,0.494
1.63E+12,2021-09-29T13.36.32.749,1.897,-0.63,0.687,0.497
1.63E+12,2021-09-29T13.36.32.754,1.902,-0.628,0.687,0.492
1.63E+12,2021-09-29T13.36.32.760,1.908,-0.627,0.692,0.491
1.63E+12,2021-09-29T13.36.32.764,1.912,-0.627,0.688,0.49
1.63E+12,2021-09-29T13.36.32.770,1.918,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.32.774,1.922,-0.626,0.688,0.495
1.63E+12,2021-09-29T13.36.32.779,1.927,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.32.785,1.933,-0.627,0.691,0.492
1.63E+12,2021-09-29T13.36.32.789,1.937,-0.632,0.688,0.491
1.63E+12,2021-09-29T13.36.32.796,1.944,-0.628,0.686,0.493
1.63E+12,2021-09-29T13.36.32.799,1.947,-0.629,0.691,0.495
1.63E+12,2021-09-29T13.36.32.805,1.953,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.32.809,1.957,-0.632,0.681,0.495
1.63E+12,2021-09-29T13.36.32.814,1.962,-0.631,0.685,0.495
1.63E+12,2021-09-29T13.36.32.820,1.968,-0.629,0.692,0.488
1.63E+12,2021-09-29T13.36.32.826,1.974,-0.632,0.684,0.488
1.63E+12,2021-09-29T13.36.32.830,1.978,-0.63,0.685,0.489
1.63E+12,2021-09-29T13.36.32.834,1.982,-0.627,0.689,0.494
1.63E+12,2021-09-29T13.36.32.840,1.988,-0.624,0.692,0.492
1.63E+12,2021-09-29T13.36.32.845,1.993,-0.628,0.69,0.493
1.63E+12,2021-09-29T13.36.32.849,1.997,-0.625,0.688,0.498
1.63E+12,2021-09-29T13.36.32.856,2.004,-0.626,0.698,0.489
1.63E+12,2021-09-29T13.36.32.859,2.007,-0.624,0.694,0.489
1.63E+12,2021-09-29T13.36.32.865,2.013,-0.621,0.691,0.494
1.63E+12,2021-09-29T13.36.32.869,2.017,-0.625,0.689,0.495
1.63E+12,2021-09-29T13.36.32.875,2.023,-0.628,0.691,0.494
1.63E+12,2021-09-29T13.36.32.880,2.028,-0.632,0.688,0.492
1.63E+12,2021-09-29T13.36.32.884,2.032,-0.636,0.683,0.493
1.63E+12,2021-09-29T13.36.32.890,2.038,-0.634,0.686,0.495
1.63E+12,2021-09-29T13.36.32.894,2.042,-0.631,0.685,0.494
1.63E+12,2021-09-29T13.36.32.900,2.048,-0.631,0.683,0.491
1.63E+12,2021-09-29T13.36.32.905,2.053,-0.634,0.682,0.492
1.63E+12,2021-09-29T13.36.32.911,2.059,-0.632,0.686,0.493
1.63E+12,2021-09-29T13.36.32.915,2.063,-0.633,0.688,0.494
1.63E+12,2021-09-29T13.36.32.921,2.069,-0.632,0.687,0.493
1.63E+12,2021-09-29T13.36.32.925,2.073,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.32.930,2.078,-0.625,0.689,0.493
1.63E+12,2021-09-29T13.36.32.935,2.083,-0.627,0.69,0.496
1.63E+12,2021-09-29T13.36.32.940,2.088,-0.626,0.692,0.492
1.63E+12,2021-09-29T13.36.32.946,2.094,-0.627,0.692,0.491
1.63E+12,2021-09-29T13.36.32.952,2.1,-0.626,0.692,0.491
1.63E+12,2021-09-29T13.36.32.956,2.104,-0.625,0.691,0.491
1.63E+12,2021-09-29T13.36.32.960,2.108,-0.628,0.688,0.495
1.63E+12,2021-09-29T13.36.32.965,2.113,-0.628,0.69,0.496
1.63E+12,2021-09-29T13.36.32.971,2.119,-0.629,0.69,0.492
1.63E+12,2021-09-29T13.36.32.975,2.123,-0.625,0.684,0.492
1.63E+12,2021-09-29T13.36.32.981,2.129,-0.627,0.687,0.492
1.63E+12,2021-09-29T13.36.32.985,2.133,-0.627,0.69,0.491
1.63E+12,2021-09-29T13.36.32.991,2.139,-0.631,0.688,0.493
1.63E+12,2021-09-29T13.36.32.995,2.143,-0.63,0.687,0.494
1.63E+12,2021-09-29T13.36.33.000,2.148,-0.628,0.689,0.491
1.63E+12,2021-09-29T13.36.33.006,2.154,-0.63,0.688,0.493
1.63E+12,2021-09-29T13.36.33.010,2.158,-0.629,0.687,0.49
1.63E+12,2021-09-29T13.36.33.016,2.164,-0.629,0.688,0.49
1.63E+12,2021-09-29T13.36.33.020,2.168,-0.628,0.688,0.492
1.63E+12,2021-09-29T13.36.33.026,2.174,-0.629,0.692,0.495
1.63E+12,2021-09-29T13.36.33.031,2.179,-0.627,0.69,0.493
1.63E+12,2021-09-29T13.36.33.035,2.183,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.33.041,2.189,-0.626,0.69,0.494
1.63E+12,2021-09-29T13.36.33.045,2.193,-0.627,0.691,0.493
1.63E+12,2021-09-29T13.36.33.051,2.199,-0.626,0.691,0.494
1.63E+12,2021-09-29T13.36.33.056,2.204,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.33.061,2.209,-0.627,0.69,0.494
1.63E+12,2021-09-29T13.36.33.066,2.214,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.33.070,2.218,-0.63,0.688,0.489
1.63E+12,2021-09-29T13.36.33.076,2.224,-0.631,0.691,0.492
1.63E+12,2021-09-29T13.36.33.080,2.228,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.33.086,2.234,-0.629,0.689,0.493
1.63E+12,2021-09-29T13.36.33.091,2.239,-0.627,0.688,0.492
1.63E+12,2021-09-29T13.36.33.097,2.245,-0.628,0.688,0.497
1.63E+12,2021-09-29T13.36.33.101,2.249,-0.631,0.688,0.494
1.63E+12,2021-09-29T13.36.33.107,2.255,-0.632,0.688,0.494
1.63E+12,2021-09-29T13.36.33.111,2.259,-0.629,0.686,0.493
1.63E+12,2021-09-29T13.36.33.116,2.264,-0.626,0.688,0.487
1.63E+12,2021-09-29T13.36.33.121,2.269,-0.625,0.688,0.493
1.63E+12,2021-09-29T13.36.33.126,2.274,-0.627,0.686,0.496
1.63E+12,2021-09-29T13.36.33.132,2.28,-0.624,0.692,0.494
1.63E+12,2021-09-29T13.36.33.136,2.284,-0.626,0.69,0.492
1.63E+12,2021-09-29T13.36.33.142,2.29,-0.627,0.688,0.489
1.63E+12,2021-09-29T13.36.33.146,2.294,-0.628,0.691,0.492
1.63E+12,2021-09-29T13.36.33.151,2.299,-0.627,0.69,0.498
1.63E+12,2021-09-29T13.36.33.157,2.305,-0.626,0.688,0.495
1.63E+12,2021-09-29T13.36.33.161,2.309,-0.632,0.69,0.492
1.63E+12,2021-09-29T13.36.33.167,2.315,-0.628,0.686,0.495
1.63E+12,2021-09-29T13.36.33.171,2.319,-0.628,0.688,0.492
1.63E+12,2021-09-29T13.36.33.177,2.325,-0.632,0.687,0.49
1.63E+12,2021-09-29T13.36.33.182,2.33,-0.632,0.688,0.492
1.63E+12,2021-09-29T13.36.33.186,2.334,-0.631,0.69,0.495
1.63E+12,2021-09-29T13.36.33.192,2.34,-0.626,0.691,0.494
1.63E+12,2021-09-29T13.36.33.196,2.344,-0.628,0.689,0.491
1.63E+12,2021-09-29T13.36.33.202,2.35,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.33.206,2.354,-0.628,0.689,0.491
1.63E+12,2021-09-29T13.36.33.212,2.36,-0.625,0.689,0.492
1.63E+12,2021-09-29T13.36.33.217,2.365,-0.624,0.687,0.493
1.63E+12,2021-09-29T13.36.33.221,2.369,-0.627,0.688,0.491
1.63E+12,2021-09-29T13.36.33.227,2.375,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.33.231,2.379,-0.626,0.685,0.492
1.63E+12,2021-09-29T13.36.33.237,2.385,-0.629,0.684,0.492
1.63E+12,2021-09-29T13.36.33.242,2.39,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.33.247,2.395,-0.63,0.69,0.491
1.63E+12,2021-09-29T13.36.33.252,2.4,-0.63,0.69,0.487
1.63E+12,2021-09-29T13.36.33.256,2.404,-0.632,0.69,0.492
1.63E+12,2021-09-29T13.36.33.262,2.41,-0.63,0.691,0.496
1.63E+12,2021-09-29T13.36.33.266,2.414,-0.629,0.687,0.494
1.63E+12,2021-09-29T13.36.33.272,2.42,-0.63,0.686,0.492
1.63E+12,2021-09-29T13.36.33.277,2.425,-0.63,0.687,0.496
1.63E+12,2021-09-29T13.36.33.283,2.431,-0.626,0.691,0.49
1.63E+12,2021-09-29T13.36.33.287,2.435,-0.626,0.691,0.493
1.63E+12,2021-09-29T13.36.33.291,2.439,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.33.297,2.445,-0.626,0.691,0.491
1.63E+12,2021-09-29T13.36.33.302,2.45,-0.626,0.69,0.491
1.63E+12,2021-09-29T13.36.33.307,2.455,-0.624,0.688,0.492
1.63E+12,2021-09-29T13.36.33.312,2.46,-0.627,0.691,0.492
1.63E+12,2021-09-29T13.36.33.318,2.466,-0.624,0.687,0.488
1.63E+12,2021-09-29T13.36.33.322,2.47,-0.627,0.688,0.49
1.63E+12,2021-09-29T13.36.33.328,2.476,-0.628,0.69,0.487
1.63E+12,2021-09-29T13.36.33.332,2.48,-0.628,0.689,0.493
1.63E+12,2021-09-29T13.36.33.337,2.485,-0.631,0.688,0.492
1.63E+12,2021-09-29T13.36.33.343,2.491,-0.629,0.689,0.492
1.63E+12,2021-09-29T13.36.33.347,2.495,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.33.353,2.501,-0.63,0.685,0.498
1.63E+12,2021-09-29T13.36.33.357,2.505,-0.63,0.686,0.498
1.63E+12,2021-09-29T13.36.33.363,2.511,-0.631,0.688,0.494
1.63E+12,2021-09-29T13.36.33.368,2.516,-0.631,0.686,0.494
1.63E+12,2021-09-29T13.36.33.372,2.52,-0.632,0.688,0.493
1.63E+12,2021-09-29T13.36.33.378,2.526,-0.631,0.688,0.491
1.63E+12,2021-09-29T13.36.33.382,2.53,-0.626,0.69,0.491
1.63E+12,2021-09-29T13.36.33.388,2.536,-0.625,0.69,0.494
1.63E+12,2021-09-29T13.36.33.392,2.54,-0.628,0.69,0.492
1.63E+12,2021-09-29T13.36.33.398,2.546,-0.626,0.688,0.492
1.63E+12,2021-09-29T13.36.33.403,2.551,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.33.409,2.557,-0.628,0.693,0.492
1.63E+12,2021-09-29T13.36.33.413,2.561,-0.628,0.691,0.492
1.63E+12,2021-09-29T13.36.33.417,2.565,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.33.423,2.571,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.33.428,2.576,-0.625,0.691,0.489
1.63E+12,2021-09-29T13.36.33.433,2.581,-0.631,0.688,0.495
1.63E+12,2021-09-29T13.36.33.438,2.586,-0.629,0.687,0.496
1.63E+12,2021-09-29T13.36.33.442,2.59,-0.629,0.69,0.496
1.63E+12,2021-09-29T13.36.33.448,2.596,-0.631,0.688,0.494
1.63E+12,2021-09-29T13.36.33.453,2.601,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.33.458,2.606,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.33.463,2.611,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.33.469,2.617,-0.628,0.687,0.493
1.63E+12,2021-09-29T13.36.33.473,2.621,-0.629,0.687,0.494
1.63E+12,2021-09-29T13.36.33.479,2.627,-0.627,0.691,0.492
1.63E+12,2021-09-29T13.36.33.483,2.631,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.33.488,2.636,-0.628,0.69,0.492
1.63E+12,2021-09-29T13.36.33.494,2.642,-0.627,0.688,0.498
1.63E+12,2021-09-29T13.36.33.498,2.646,-0.626,0.689,0.497
1.63E+12,2021-09-29T13.36.33.504,2.652,-0.625,0.688,0.493
1.63E+12,2021-09-29T13.36.33.508,2.656,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.33.514,2.662,-0.625,0.691,0.496
1.63E+12,2021-09-29T13.36.33.518,2.666,-0.625,0.687,0.493
1.63E+12,2021-09-29T13.36.33.523,2.671,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.33.529,2.677,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.33.533,2.681,-0.627,0.69,0.495
1.63E+12,2021-09-29T13.36.33.539,2.687,-0.627,0.691,0.49
1.63E+12,2021-09-29T13.36.33.543,2.691,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.33.549,2.697,-0.631,0.687,0.495
1.63E+12,2021-09-29T13.36.33.554,2.702,-0.63,0.69,0.494
1.63E+12,2021-09-29T13.36.33.558,2.706,-0.628,0.685,0.492
1.63E+12,2021-09-29T13.36.33.564,2.712,-0.626,0.687,0.492
1.63E+12,2021-09-29T13.36.33.568,2.716,-0.631,0.69,0.494
1.63E+12,2021-09-29T13.36.33.576,2.724,-0.627,0.69,0.494
1.63E+12,2021-09-29T13.36.33.578,2.726,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.33.584,2.732,-0.628,0.688,0.493
1.63E+12,2021-09-29T13.36.33.589,2.737,-0.627,0.688,0.496
1.63E+12,2021-09-29T13.36.33.593,2.741,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.33.599,2.747,-0.628,0.69,0.493
1.63E+12,2021-09-29T13.36.33.605,2.753,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.33.609,2.757,-0.63,0.69,0.49
1.63E+12,2021-09-29T13.36.33.614,2.762,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.33.619,2.767,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.33.624,2.772,-0.629,0.69,0.492
1.63E+12,2021-09-29T13.36.33.628,2.776,-0.628,0.687,0.495
1.63E+12,2021-09-29T13.36.33.636,2.784,-0.63,0.689,0.492
1.63E+12,2021-09-29T13.36.33.639,2.787,-0.632,0.69,0.493
1.63E+12,2021-09-29T13.36.33.644,2.792,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.33.649,2.797,-0.63,0.687,0.492
1.63E+12,2021-09-29T13.36.33.655,2.803,-0.631,0.686,0.494
1.63E+12,2021-09-29T13.36.33.659,2.807,-0.629,0.686,0.491
1.63E+12,2021-09-29T13.36.33.665,2.813,-0.628,0.688,0.489
1.63E+12,2021-09-29T13.36.33.669,2.817,-0.628,0.69,0.492
1.63E+12,2021-09-29T13.36.33.674,2.822,-0.631,0.689,0.493
1.63E+12,2021-09-29T13.36.33.680,2.828,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.33.684,2.832,-0.627,0.69,0.493
1.63E+12,2021-09-29T13.36.33.690,2.838,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.33.694,2.842,-0.628,0.687,0.494
1.63E+12,2021-09-29T13.36.33.700,2.848,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.33.704,2.852,-0.626,0.693,0.489
1.63E+12,2021-09-29T13.36.33.709,2.857,-0.625,0.688,0.495
1.63E+12,2021-09-29T13.36.33.715,2.863,-0.631,0.686,0.491
1.63E+12,2021-09-29T13.36.33.719,2.867,-0.63,0.689,0.494
1.63E+12,2021-09-29T13.36.33.725,2.873,-0.627,0.69,0.496
1.63E+12,2021-09-29T13.36.33.729,2.877,-0.631,0.687,0.493
1.63E+12,2021-09-29T13.36.33.735,2.883,-0.63,0.687,0.492
1.63E+12,2021-09-29T13.36.33.740,2.888,-0.628,0.691,0.492
1.63E+12,2021-09-29T13.36.33.744,2.892,-0.63,0.688,0.491
1.63E+12,2021-09-29T13.36.33.750,2.898,-0.628,0.687,0.492
1.63E+12,2021-09-29T13.36.33.754,2.902,-0.629,0.685,0.492
1.63E+12,2021-09-29T13.36.33.760,2.908,-0.628,0.685,0.492
1.63E+12,2021-09-29T13.36.33.765,2.913,-0.629,0.69,0.495
1.63E+12,2021-09-29T13.36.33.770,2.918,-0.627,0.691,0.495
1.63E+12,2021-09-29T13.36.33.775,2.923,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.33.779,2.927,-0.626,0.688,0.495
1.63E+12,2021-09-29T13.36.33.785,2.933,-0.628,0.69,0.493
1.63E+12,2021-09-29T13.36.33.789,2.937,-0.631,0.69,0.495
1.63E+12,2021-09-29T13.36.33.795,2.943,-0.626,0.688,0.497
1.63E+12,2021-09-29T13.36.33.800,2.948,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.33.806,2.954,-0.627,0.69,0.489
1.63E+12,2021-09-29T13.36.33.810,2.958,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.33.814,2.962,-0.629,0.688,0.496
1.63E+12,2021-09-29T13.36.33.820,2.968,-0.631,0.685,0.493
1.63E+12,2021-09-29T13.36.33.825,2.973,-0.629,0.687,0.492
1.63E+12,2021-09-29T13.36.33.830,2.978,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.33.835,2.983,-0.63,0.691,0.497
1.63E+12,2021-09-29T13.36.33.841,2.989,-0.63,0.69,0.494
1.63E+12,2021-09-29T13.36.33.845,2.993,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.33.851,2.999,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.33.855,3.003,-0.627,0.69,0.493
1.63E+12,2021-09-29T13.36.33.860,3.008,-0.629,0.689,0.493
1.63E+12,2021-09-29T13.36.33.866,3.014,-0.629,0.689,0.493
1.63E+12,2021-09-29T13.36.33.870,3.018,-0.626,0.688,0.49
1.63E+12,2021-09-29T13.36.33.876,3.024,-0.631,0.69,0.494
1.63E+12,2021-09-29T13.36.33.880,3.028,-0.631,0.691,0.494
1.63E+12,2021-09-29T13.36.33.886,3.034,-0.632,0.688,0.494
1.63E+12,2021-09-29T13.36.33.890,3.038,-0.631,0.686,0.494
1.63E+12,2021-09-29T13.36.33.895,3.043,-0.628,0.689,0.491
1.63E+12,2021-09-29T13.36.33.901,3.049,-0.625,0.688,0.494
1.63E+12,2021-09-29T13.36.33.905,3.053,-0.63,0.69,0.496
1.63E+12,2021-09-29T13.36.33.911,3.059,-0.632,0.69,0.495
1.63E+12,2021-09-29T13.36.33.915,3.063,-0.628,0.685,0.495
1.63E+12,2021-09-29T13.36.33.921,3.069,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.33.926,3.074,-0.629,0.689,0.491
1.63E+12,2021-09-29T13.36.33.930,3.078,-0.633,0.687,0.49
1.63E+12,2021-09-29T13.36.33.936,3.084,-0.63,0.687,0.494
1.63E+12,2021-09-29T13.36.33.940,3.088,-0.628,0.69,0.496
1.63E+12,2021-09-29T13.36.33.946,3.094,-0.628,0.686,0.494
1.63E+12,2021-09-29T13.36.33.951,3.099,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.33.956,3.104,-0.626,0.69,0.491
1.63E+12,2021-09-29T13.36.33.961,3.109,-0.627,0.69,0.494
1.63E+12,2021-09-29T13.36.33.965,3.113,-0.63,0.688,0.493
1.63E+12,2021-09-29T13.36.33.971,3.119,-0.627,0.688,0.495
1.63E+12,2021-09-29T13.36.33.975,3.123,-0.625,0.689,0.495
1.63E+12,2021-09-29T13.36.33.981,3.129,-0.625,0.689,0.493
1.63E+12,2021-09-29T13.36.33.986,3.134,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.33.992,3.14,-0.627,0.688,0.494
1.63E+12,2021-09-29T13.36.33.996,3.144,-0.628,0.686,0.491
1.63E+12,2021-09-29T13.36.34.002,3.15,-0.628,0.687,0.492
1.63E+12,2021-09-29T13.36.34.006,3.154,-0.627,0.689,0.494
1.63E+12,2021-09-29T13.36.34.011,3.159,-0.628,0.687,0.493
1.63E+12,2021-09-29T13.36.34.016,3.164,-0.627,0.688,0.491
1.63E+12,2021-09-29T13.36.34.021,3.169,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.34.027,3.175,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.34.031,3.179,-0.628,0.689,0.496
1.63E+12,2021-09-29T13.36.34.037,3.185,-0.629,0.687,0.495
1.63E+12,2021-09-29T13.36.34.041,3.189,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.34.046,3.194,-0.629,0.688,0.492
1.63E+12,2021-09-29T13.36.34.052,3.2,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.34.056,3.204,-0.629,0.688,0.496
1.63E+12,2021-09-29T13.36.34.062,3.21,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.34.066,3.214,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.34.072,3.22,-0.629,0.689,0.491
1.63E+12,2021-09-29T13.36.34.077,3.225,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.34.081,3.229,-0.63,0.688,0.491
1.63E+12,2021-09-29T13.36.34.087,3.235,-0.629,0.688,0.495
1.63E+12,2021-09-29T13.36.34.091,3.239,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.34.097,3.245,-0.626,0.692,0.495
1.63E+12,2021-09-29T13.36.34.101,3.249,-0.629,0.692,0.496
1.63E+12,2021-09-29T13.36.34.107,3.255,-0.632,0.688,0.494
1.63E+12,2021-09-29T13.36.34.112,3.26,-0.627,0.688,0.491
1.63E+12,2021-09-29T13.36.34.116,3.264,-0.628,0.689,0.493
1.63E+12,2021-09-29T13.36.34.122,3.27,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.34.126,3.274,-0.631,0.689,0.491
1.63E+12,2021-09-29T13.36.34.132,3.28,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.34.137,3.285,-0.629,0.686,0.491
1.63E+12,2021-09-29T13.36.34.142,3.29,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.34.147,3.295,-0.631,0.687,0.495
1.63E+12,2021-09-29T13.36.34.153,3.301,-0.627,0.688,0.494
1.63E+12,2021-09-29T13.36.34.157,3.305,-0.628,0.689,0.493
1.63E+12,2021-09-29T13.36.34.161,3.309,-0.627,0.687,0.495
1.63E+12,2021-09-29T13.36.34.167,3.315,-0.629,0.688,0.495
1.63E+12,2021-09-29T13.36.34.172,3.32,-0.629,0.691,0.494
1.63E+12,2021-09-29T13.36.34.178,3.326,-0.63,0.689,0.492
1.63E+12,2021-09-29T13.36.34.182,3.33,-0.63,0.687,0.494
1.63E+12,2021-09-29T13.36.34.188,3.336,-0.628,0.688,0.492
1.63E+12,2021-09-29T13.36.34.192,3.34,-0.63,0.688,0.495
1.63E+12,2021-09-29T13.36.34.197,3.345,-0.627,0.689,0.495
1.63E+12,2021-09-29T13.36.34.203,3.351,-0.627,0.688,0.492
1.63E+12,2021-09-29T13.36.34.207,3.355,-0.63,0.689,0.495
1.63E+12,2021-09-29T13.36.34.213,3.361,-0.628,0.689,0.496
1.63E+12,2021-09-29T13.36.34.217,3.365,-0.63,0.688,0.493
1.63E+12,2021-09-29T13.36.34.223,3.371,-0.629,0.686,0.492
1.63E+12,2021-09-29T13.36.34.227,3.375,-0.63,0.689,0.494
1.63E+12,2021-09-29T13.36.34.232,3.38,-0.628,0.691,0.499
1.63E+12,2021-09-29T13.36.34.238,3.386,-0.629,0.689,0.497
1.63E+12,2021-09-29T13.36.34.242,3.39,-0.627,0.686,0.494
1.63E+12,2021-09-29T13.36.34.248,3.396,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.34.252,3.4,-0.63,0.689,0.492
1.63E+12,2021-09-29T13.36.34.258,3.406,-0.629,0.687,0.489
1.63E+12,2021-09-29T13.36.34.263,3.411,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.34.267,3.415,-0.627,0.687,0.493
1.63E+12,2021-09-29T13.36.34.273,3.421,-0.631,0.685,0.493
1.63E+12,2021-09-29T13.36.34.277,3.425,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.34.283,3.431,-0.625,0.688,0.492
1.63E+12,2021-09-29T13.36.34.287,3.435,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.34.293,3.441,-0.629,0.689,0.494
1.63E+12,2021-09-29T13.36.34.298,3.446,-0.627,0.689,0.491
1.63E+12,2021-09-29T13.36.34.304,3.452,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.34.308,3.456,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.34.312,3.46,-0.626,0.689,0.491
1.63E+12,2021-09-29T13.36.34.318,3.466,-0.627,0.689,0.495
1.63E+12,2021-09-29T13.36.34.323,3.471,-0.628,0.688,0.496
1.63E+12,2021-09-29T13.36.34.328,3.476,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.34.333,3.481,-0.627,0.689,0.493
1.63E+12,2021-09-29T13.36.34.339,3.487,-0.627,0.686,0.495
1.63E+12,2021-09-29T13.36.34.343,3.491,-0.63,0.686,0.498
1.63E+12,2021-09-29T13.36.34.348,3.496,-0.629,0.688,0.492
1.63E+12,2021-09-29T13.36.34.353,3.501,-0.627,0.686,0.49
1.63E+12,2021-09-29T13.36.34.358,3.506,-0.628,0.689,0.496
1.63E+12,2021-09-29T13.36.34.364,3.512,-0.626,0.685,0.495
1.63E+12,2021-09-29T13.36.34.368,3.516,-0.625,0.686,0.495
1.63E+12,2021-09-29T13.36.34.374,3.522,-0.626,0.689,0.491
1.63E+12,2021-09-29T13.36.34.378,3.526,-0.63,0.687,0.494
1.63E+12,2021-09-29T13.36.34.383,3.531,-0.628,0.688,0.493
1.63E+12,2021-09-29T13.36.34.389,3.537,-0.629,0.689,0.492
1.63E+12,2021-09-29T13.36.34.393,3.541,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.34.399,3.547,-0.629,0.688,0.495
1.63E+12,2021-09-29T13.36.34.403,3.551,-0.63,0.688,0.494
1.63E+12,2021-09-29T13.36.34.409,3.557,-0.628,0.688,0.497
1.63E+12,2021-09-29T13.36.34.413,3.561,-0.629,0.688,0.497
1.63E+12,2021-09-29T13.36.34.418,3.566,-0.628,0.688,0.495
1.63E+12,2021-09-29T13.36.34.424,3.572,-0.628,0.688,0.494
