epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63E+12,2021-09-29T13.36.31.255,0.403,-0.63,0.688,0.501
1.63E+12,2021-09-29T13.36.31.261,0.409,-0.626,0.687,0.496
1.63E+12,2021-09-29T13.36.31.265,0.413,-0.627,0.686,0.496
1.63E+12,2021-09-29T13.36.31.270,0.418,-0.63,0.686,0.496
1.63E+12,2021-09-29T13.36.31.276,0.424,-0.629,0.688,0.491
1.63E+12,2021-09-29T13.36.31.280,0.428,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.31.286,0.434,-0.63,0.685,0.493
1.63E+12,2021-09-29T13.36.31.290,0.438,-0.629,0.687,0.496
1.63E+12,2021-09-29T13.36.31.296,0.444,-0.631,0.684,0.497
1.63E+12,2021-09-29T13.36.31.301,0.449,-0.632,0.687,0.494
1.63E+12,2021-09-29T13.36.31.305,0.453,-0.632,0.685,0.498
1.63E+12,2021-09-29T13.36.31.311,0.459,-0.633,0.685,0.499
1.63E+12,2021-09-29T13.36.31.315,0.463,-0.629,0.686,0.498
1.63E+12,2021-09-29T13.36.31.321,0.469,-0.63,0.688,0.496
1.63E+12,2021-09-29T13.36.31.326,0.474,-0.631,0.687,0.5
1.63E+12,2021-09-29T13.36.31.331,0.479,-0.628,0.688,0.498
1.63E+12,2021-09-29T13.36.31.336,0.484,-0.63,0.689,0.496
1.63E+12,2021-09-29T13.36.31.340,0.488,-0.63,0.688,0.494
1.63E+12,2021-09-29T13.36.31.346,0.494,-0.626,0.687,0.492
1.63E+12,2021-09-29T13.36.31.350,0.498,-0.627,0.687,0.494
1.63E+12,2021-09-29T13.36.31.356,0.504,-0.629,0.687,0.491
1.63E+12,2021-09-29T13.36.31.361,0.509,-0.626,0.689,0.488
1.63E+12,2021-09-29T13.36.31.367,0.515,-0.625,0.688,0.488
1.63E+12,2021-09-29T13.36.31.371,0.519,-0.627,0.687,0.488
1.63E+12,2021-09-29T13.36.31.377,0.525,-0.631,0.687,0.487
1.63E+12,2021-09-29T13.36.31.381,0.529,-0.631,0.685,0.487
1.63E+12,2021-09-29T13.36.31.386,0.534,-0.63,0.687,0.487
