Elapsed Time (s),Velocity No Drift (m/s)
2.307,-0.0008502408499994896
2.313,-0.0011018011999994748
2.317,-0.0009360819999994496
2.323,-0.0010405425999994444
2.327,-0.000874823399999447
2.334,-0.0010947605999994392
2.337,-0.0008429847499994425
2.342,-0.0009594551999994316
2.348,-0.0008775894499994108
2.352,-0.0005353505499994526
2.358,-0.0007182643499994423
2.364,-0.0005873653499994247
2.367,-0.00034539614999942736
2.373,-0.0005086966499994461
2.377,-0.0003429774499993654
2.383,-0.0005651178499994081
2.387,-0.0005759183499993992
2.395,-0.0009505587499993862
2.397,-0.0003969799499993487
2.403,-0.0006583469499993888
2.408,-0.0006277176499993598
2.412,-0.0006385181499993786
2.418,-0.0007822053499993709
2.424,-0.0006513063499993532
2.428,-0.0005444270499993797
2.433,-0.000690317449999367
2.438,-0.0007283346999993889
2.443,-0.000864418449999349
2.449,-0.0008806191999993496
2.455,-0.0009850797999993721
2.458,-0.0006254307999993824
2.463,-0.0007419012499993438
2.468,-0.0006818519999993444
2.474,-0.0007470859999993695
2.478,-0.0005813667999993444
2.484,-0.0007642805999993063
2.488,-0.0006574012999993328
2.493,-0.0006856118999993277
2.499,-0.000701812649999356
2.503,-0.0007714530499993433
2.509,-0.0009935934499993027
2.515,-0.0010392141499993568
2.519,-0.0009911747499993517
2.523,-0.0008646821499993518
2.529,-0.0010083693499993163
2.534,-0.0008600602499993226
2.538,-0.0006747277499993265
2.544,-0.0007399617499993238
2.548,-0.00045656274999930635
2.554,-0.0006002499499992986
2.559,-0.00033426104999934036
2.564,-0.0002251785499993164
2.569,-0.00016512929999928927
2.575,-0.00023036329999931437
2.579,5.303570000070312e-05
2.584,-5.362809999928664e-05
2.589,-4.26120999992563e-05
2.594,-0.00022772909999926871
2.6,-0.000440062849999312
2.604,-0.00039202344999930694
2.61,-0.0005749372499992689
2.614,-0.0004680579499992954
2.619,-0.0007316281499993305
2.625,-0.0007968621499993
2.629,-0.0005134631499993103
2.635,-0.0005394705499992825
2.639,-0.0003149114499992889
2.645,-0.000576278449999329
2.649,-0.0004693991499993
2.654,-0.0006152895499992594
2.66,-0.0006314902999992877
2.664,-0.0005246109999992588
2.67,-0.0007075247999992207
2.674,-0.0005418055999992233
2.68,-0.0006854927999992433
2.685,-0.0006548634999992142
2.69,-0.0006928807499992085
2.695,-0.0005837982499991845
2.699,-0.0006436319999992002
2.705,-0.0007480925999992227
2.709,-0.0005823733999991976
2.715,-0.000804513799999157
2.72,-0.0006562046999991911
2.726,-0.0007704719499991575
2.73,-0.0005459128499991639
2.736,-0.0006503734499991587
2.74,-0.0006611739499991498
2.745,-0.0008462909499991622
2.751,-0.001009591449999181
2.755,-0.0009615520499992036
2.761,-0.0011836924499991908
2.765,-0.0009591333499991694
2.771,-0.0010243673499991668
2.775,-0.0009763279499991895
2.78,-0.0010829917499991515
2.786,-0.0012953254999991948
2.79,-0.0008942466999991572
2.796,-0.0009987072999991242
2.8,-0.0007741481999991584
2.806,-0.0011139683999991656
2.811,-0.0012010188999991567
2.816,-0.0011409696499991573
2.821,-0.0010809203999991857
2.825,-0.0009936543999991554
2.831,-0.0011373415999991199
2.835,-0.0011481420999991387
2.841,-0.0012918292999991587
2.846,-0.0011435201999991096
2.852,-0.0011106876999991133
2.856,-0.0009449684999991159
2.86,-0.0009361556999991083
2.866,-0.0010798428999991005
2.871,-0.0010492135999990715
2.876,-0.0011362640999990903
2.881,-0.0011252480999990877
2.887,-0.0011414488499990882
2.891,-0.0009168897499990669
2.897,-0.001139030149999054
2.901,-0.0010909907499990767
2.906,-0.0013153343499991144
2.912,-0.0012825018499990626
2.916,-0.0011167826499990652
2.922,-0.0012604698499990852
2.926,-0.0009770708499990677
2.932,-0.0011599846499990296
2.937,-0.0012470351499990484
2.942,-0.0012360191499990736
2.947,-0.0011269366499990496
2.951,-0.001088703899999044
2.957,-0.001389297499999026
2.961,-0.0012235782999990286
2.967,-0.0013280388999990511
2.972,-0.0015327691999990067
2.978,-0.0014999366999990382
2.982,-0.0010400179999990045
2.986,-0.0010704317999989943
2.992,-0.0013317987999989789
2.997,-0.0011834896999989852
3.002,-0.001074407199998989
3.007,-0.001112424449999011
3.013,-0.0012757249499989742
3.017,-0.0011688456499990008
3.023,-0.0012733062499990233
3.027,-0.0009899072499990058
3.032,-0.0010965710499989956
3.038,-0.001210838299998962
3.042,-0.0012216387999989808
3.048,-0.001483005799999021
3.052,-0.0012584466999989996
3.058,-0.0013236806999989692
3.063,-0.0012930513999990234
3.067,-0.00125481864999899
3.073,-0.0013592792499989848
3.077,-0.0011347201499989912
3.083,-0.0013568605499989783
3.087,-0.0012499812499989493
3.093,-0.0013152152499989467
3.098,-0.0011080662499989291
3.102,-0.0010698334999989234
3.108,-0.0012135206999989434
3.112,-0.0011066413999989144
3.118,-0.001368008399998899
3.123,-0.0012785391999989293
3.128,-0.0013165564499988958
3.133,-0.0012565071999988964
3.139,-0.0013707744499988628
3.143,-0.0012050552499988654
3.147,-0.0011962424499988578
3.153,-0.0012614764499988829
3.158,-0.0010543274499988653
3.164,-0.001217627949998884
3.168,-0.0010519087499988589
3.174,-0.0010386895499988613
3.178,-0.0008141304499988677
3.184,-0.00095781764999886
3.188,-0.0007920984499988348
3.193,-0.0008595356499988271
3.199,-0.0009247696499988245
3.203,-0.0008767302499988472
3.209,-0.000981190849998842
3.213,-0.000991991349998833
3.219,-0.0010572253499988304
3.224,-0.0008500763499988684
3.228,-0.0008608768499988595
3.234,-0.0010437906499988214
3.238,-0.0007603916499988317
3.244,-0.0008648522499988542
3.249,-0.0008342229499987974
3.254,-0.0008232069499987948
3.259,-0.0007141244499987986
3.265,-0.000730325199998827
3.269,-0.0005646059999988018
3.273,-0.0006342463999987891
3.279,-0.0007779335999987536
3.284,-0.0006884643999987561
3.29,-0.0008517648999987748
3.294,-0.0005683658999987573
3.3,-0.0007120530999987773
3.304,-0.0005463338999988077
3.309,-0.0006529976999988252
3.314,-0.0006419816999987948
3.319,-0.0005819324499988232
3.325,-0.0005981331999988515
3.329,-0.000314734199998834
3.335,-0.0003015149999988087
3.339,-0.00019463569999883523
3.345,-0.00033832289999885523
3.35,-0.00019001379999883383
3.354,-0.00010274779999885908
3.36,-0.00016798179999888418
3.364,-6.110249999891071e-05
3.37,-0.00024401629999892815
3.375,-0.00027222689999889527
3.38,-0.00016314439999892683
3.385,-0.0002011616499989488
3.391,-0.0003154288999989707
3.395,-0.0003262293999989341
3.399,-0.00035664319999895167
3.405,-0.00042187719999897677
3.41,-0.00033240799999900705
3.416,-0.00044667524999897346
3.42,-0.00022211614999900764
3.426,-0.00028735014999903274
3.43,-6.279104999906693e-05
3.435,-0.00020868144999902638
3.44,-0.0003937984499990388
3.445,-0.00038278244999906397
3.451,-0.00039898319999909226
3.455,-0.00035094379999905945
3.461,-0.0005338575999990769
3.465,-0.0004269782999991034
3.471,-0.000531438899999126
3.476,-0.0003242898999991084
3.48,-0.00018799064999913684
3.486,-0.0003709044499992098
3.49,-0.0002640251499991808
3.496,-0.00044693894999914274
3.501,-0.00029862984999917686
3.506,-0.00038568034999919565
3.511,-0.00042369759999927314
3.515,-0.00028739834999924607
3.521,-0.0005095387499992055
3.525,-0.000402659449999232
3.531,-0.00042866684999925964
3.536,-0.00010383804999919422
3.542,-2.1972299999228895e-05
3.546,8.490700000074458e-05
3.552,-0.00013723339999932582
3.556,8.73257000006955e-05
3.561,1.9888500000730946e-05
3.566,-0.00011619524999928466
3.571,-0.00010517924999936534
3.577,-7.234674999928581e-05
3.581,9.337245000068384e-05
3.587,-0.00012876794999938657
3.591,3.695125000063859e-05
3.597,-0.00014596254999932334
3.602,0.00012002635000063488
3.606,0.00020729235000060964
3.612,-1.4848049999460766e-05
3.616,0.00020971105000056056
3.622,0.00014447705000059097
3.626,0.00019251645000056827
3.632,8.805585000049021e-05
3.637,0.0002363649500005116
3.641,0.0004707307000004768
3.647,0.00036627010000050975
3.651,0.0004731494000004832
3.657,0.0004079154000004026
3.662,0.0004385447000004872
3.667,0.0004985939500004588
3.672,0.0005586432000003749
3.678,0.0004443759500004085
3.682,0.000551255250000382
3.687,0.0003661382500004251
3.692,0.00047522075000033803
3.697,0.0006823697500003556
3.703,0.000617135750000386
3.707,0.0008416948500003518
3.713,0.0006980076500002763
3.717,0.0009814066500002938
3.722,0.0008355162500002788
3.728,0.0007702822500002537
3.732,0.0008771615500002827
3.738,0.0007334743500002627
3.742,0.0009580334500002285
3.748,0.0008143462500002085
3.752,0.0008623856500002969
3.757,0.0007557218500002238
3.763,0.0007395211000002511
3.767,0.0009640802000002169
3.773,0.0007811664000001994
3.777,0.0009468856000002246
3.783,0.0007247452000002097
3.788,0.0006376947000002464
3.793,0.0006487107000001657
3.798,0.0006106934500001993
3.802,0.0008450592000001644
3.808,0.0007798252000001393
3.813,0.0006339348000001244
3.818,0.0006449508000001547
3.823,0.0006069335500001327
3.829,0.00029653330000012357
3.833,0.00040341260000015255
3.839,0.00033817860000012745
3.843,0.0003273781000001086
3.848,0.00014226110000009617
3.854,0.0002241268500000615
3.858,0.000507525850000079
3.864,0.0002853854500000641
3.868,0.0005099445500000299
3.874,0.0004447105500000048
3.878,0.0006692696500000261
3.883,0.00048415265000001373
3.889,0.0003698853999999918
3.893,0.0004767646999999653
3.899,0.00037230409999994274
3.903,0.0005380232999999679
3.909,0.00035510949999995045
3.914,0.00032689889999992783
3.919,0.00033791489999995816
3.924,0.00025086439999993937
3.928,0.0001910306499999237
3.934,0.0001257966499998986
3.938,0.0004091956499999161
3.944,0.00038318824999994394
3.949,0.0005314973499999098
3.955,0.0005152965999998815
3.959,0.0006810157999999067
3.963,0.0006113753999998917
3.969,0.0005069147999998691
3.974,0.0005375440999998427
3.98,0.00042327684999987625
3.984,0.0007066758499998382
3.99,0.0005237620499998208
3.994,0.0008071610499998383
4.0,0.0006634738499998183
4.004,0.0008880329499998396
4.009,0.0009775021499997538
4.015,0.0010593678999998302
4.019,0.0011662471999998036
4.025,0.0010225599999997836
4.029,0.0013059589999998567
4.035,0.001201498399999834
4.04,0.0014674872999998478
4.045,0.0014294700499998259
4.05,0.001342419549999807
4.054,0.0014787187999997786
4.06,0.001413484799999809
4.064,0.0016380438999997748
4.07,0.001455130099999813
4.075,0.0016034391999998343
4.081,0.0014891719499997569
4.085,0.001478371449999849
4.089,0.001369504449999781
4.095,0.001225817249999872
4.1,0.001550646049999771
4.105,0.0014635955499996967
4.11,0.0013765450499997334
4.116,0.0013603442999997606
4.12,0.001467223599999734
4.126,0.0012450831999997192
4.13,0.0011166028999997635
4.135,0.0009314858999997511
4.141,0.0009643183999997196
4.145,0.001247717399999737
4.151,0.0009863503999997247
